product_id,rfid_tags,aisle_slot,category,product_name,supplier_name,supplier_contact,contract_id,contract_valid_till,total_units,units_per_box,total_boxes,expiry_date,turnover_rate_per_month,monthly_sales,yearly_sales,demand_level,stock_status,reorder_point,specifications,description
PID-A001,RFID-A1001|RFID-A1001-BOX1|RFID-A1001-BOX2|RFID-A1001-BOX3|RFID-A1001-BOX4,A1,Electronics,Arduino Uno R3,Electronics Supplier 1,+91-9826600539,CON-A-001,2028-01-29,20,5,4,N/A,8,13,156,Medium,Healthy,15,"{""microcontroller"": ""ATmega328P"", ""operating_voltage"": ""5V"", ""input_voltage"": ""7-12V"", ""digital_io_pins"": 14, ""analog_input_pins"": 6, ""flash_memory"": ""32KB"", ""clock_speed"": ""16MHz""}",Development board for prototyping embedded and IoT systems.
PID-A002,RFID-A1002,A2,Electronics,ESP32 DevKit V1,Electronics Supplier 2,+91-9642621108,CON-A-002,2028-03-27,0,10,0,N/A,12,6,72,Low,Out of Stock,10,"{""cpu"": ""Dual-core Xtensa"", ""wifi"": ""802.11 b/g/n"", ""bluetooth"": ""v4.2 BLE"", ""gpio_pins"": 30, ""flash"": ""4MB"", ""clock"": ""240MHz""}",WiFi+BLE microcontroller for IoT and edge applications.
PID-A003,RFID-A1003,A3,Electronics,Raspberry Pi 4 (4GB),Electronics Supplier 3,+91-9398704996,CON-A-003,2026-07-26,0,5,0,N/A,23,73,876,Very High,Out of Stock,100,"{""cpu"": ""Quad-core Cortex-A72"", ""ram"": ""4GB"", ""usb"": ""2xUSB3.0"", ""ethernet"": ""Gigabit"", ""hdmi"": ""2x micro HDMI""}","Single-board computer for AI, edge computing and prototyping."
PID-A004,RFID-A1004|RFID-A1004-BOX1|RFID-A1004-BOX2|RFID-A1004-BOX3|RFID-A1004-BOX4|RFID-A1004-BOX5,A4,Electronics,NodeMCU ESP8266,Electronics Supplier 4,+91-9461415646,CON-A-004,2026-11-01,25,5,5,N/A,29,17,204,High,Healthy,20,"{""cpu"": ""Tensilica L106"", ""wifi"": ""802.11 b/g/n"", ""flash"": ""4MB"", ""gpio"": 11}",Low-cost WiFi microcontroller for IoT nodes.
PID-A005,RFID-A1005,A5,Electronics,HC-SR04 Ultrasonic Sensor,Electronics Supplier 5,+91-9146654552,CON-A-005,2027-11-02,0,5,0,N/A,30,19,228,High,Out of Stock,20,"{""range"": ""2-400cm"", ""accuracy"": ""\u00b13mm"", ""voltage"": ""5V"", ""frequency"": ""40kHz""}",Distance measurement sensor using ultrasonic echo.
PID-A006,RFID-A1006|RFID-A1006-BOX1|RFID-A1006-BOX2,A6,Electronics,IR Obstacle Sensor,Electronics Supplier 6,+91-9488302652,CON-A-006,2028-03-02,20,10,2,N/A,24,21,252,High,Low Stock,50,"{""voltage"": ""3.3-5V"", ""range"": ""2-30cm"", ""output"": ""Digital""}",Infrared proximity detection for obstacle sensing.
PID-A007,RFID-A1007,A7,Electronics,DHT22 Temp/Humidity Sensor,Electronics Supplier 7,+91-9349957310,CON-A-007,2026-10-31,0,5,0,N/A,7,10,120,Medium,Out of Stock,10,"{""temp_range"": ""-40 to 80C"", ""humidity"": ""0-100%"", ""accuracy"": ""\u00b10.5C/\u00b12%""}",Digital temperature and humidity sensor.
PID-A008,RFID-A1008|RFID-A1008-BOX1,A8,Electronics,MQ-2 Gas Sensor,Electronics Supplier 8,+91-9386665249,CON-A-008,2028-06-18,15,10,1,N/A,26,12,144,High,Low Stock,15,"{""gases"": ""LPG, Smoke"", ""voltage"": ""5V"", ""preheat"": ""24h""}",Combustible gas and smoke detection module.
PID-A009,RFID-A1009|RFID-A1009-BOX1|RFID-A1009-BOX2|RFID-A1009-BOX3,A9,Electronics,PIR Motion Sensor,Electronics Supplier 9,+91-9389854268,CON-A-009,2028-05-05,60,20,3,N/A,17,41,492,Medium,Healthy,50,"{""range"": ""6-7m"", ""voltage"": ""5V"", ""delay"": ""adjustable""}",Passive infrared sensor for motion detection.
PID-A010,RFID-A1010|RFID-A1010-BOX1|RFID-A1010-BOX2|RFID-A1010-BOX3|RFID-A1010-BOX4,A10,Electronics,5V Relay Module (1-Channel),Electronics Supplier 10,+91-9438715135,CON-A-010,2027-09-03,20,5,4,N/A,30,21,252,Medium,Healthy,10,"{""coil_voltage"": ""5V"", ""load"": ""10A@250VAC"", ""isolation"": ""optocoupler""}",Switching high loads with microcontrollers.
